method,metric,mean,median,sd
cox,training.time,0.001,0.001,0
cox,evaluating.time,0.0017,0.0017,0
cox,AIC,382.1542,382.1542,0
cox,c.index,0.6036,0.6036,0
cox,AUC,0.559013333333333,0.5629,0.0162738521392704
cox,Brier,0.193691666666667,0.2043,0.0664570252215573
coxSW,training.time,0.0022,0.0022,0
coxSW,evaluating.time,0.0016,0.0016,0
coxSW,AIC,382.1542,382.1542,0
coxSW,c.index,0.6036,0.6036,0
coxSW,AUC,0.559013333333333,0.5629,0.0162738521392704
coxSW,Brier,0.193691666666667,0.2043,0.0664570252215573
coxEN,training.time,0.0032,0.0032,0
coxEN,evaluating.time,0.0016,0.0016,0
coxEN,AIC,382.1542,382.1542,0
coxEN,c.index,0.6036,0.6036,0
coxEN,AUC,0.559013333333333,0.5629,0.0162738521392704
coxEN,Brier,0.193691666666667,0.2043,0.0664570252215573
sPLS-ICOX,training.time,5e-04,5e-04,0
sPLS-ICOX,evaluating.time,0.0017,0.0017,0
sPLS-ICOX,AIC,382.0545,382.0545,0
sPLS-ICOX,c.index,0.6045,0.6045,0
sPLS-ICOX,AUC,0.548846666666667,0.5505,0.0138170436012032
sPLS-ICOX,Brier,0.186166666666667,0.1956,0.0606274474478724
sPLS-DRCOX,training.time,3e-04,3e-04,0
sPLS-DRCOX,evaluating.time,0.0016,0.0016,0
sPLS-DRCOX,AIC,382.4184,382.4184,0
sPLS-DRCOX,c.index,0.6014,0.6014,0
sPLS-DRCOX,AUC,0.544013333333333,0.5454,0.0125230817690549
sPLS-DRCOX,Brier,0.186108333333333,0.1952,0.059532391091353
sPLS-DRCOX-Dynamic,training.time,4e-04,4e-04,0
sPLS-DRCOX-Dynamic,evaluating.time,0.0016,0.0016,0
sPLS-DRCOX-Dynamic,AIC,382.4184,382.4184,0
sPLS-DRCOX-Dynamic,c.index,0.6014,0.6014,0
sPLS-DRCOX-Dynamic,AUC,0.544013333333333,0.5454,0.0125230817690549
sPLS-DRCOX-Dynamic,Brier,0.186108333333333,0.1952,0.059532391091353
sPLS-DACOX-Dynamic,training.time,3e-04,3e-04,0
sPLS-DACOX-Dynamic,evaluating.time,0.0016,0.0016,0
sPLS-DACOX-Dynamic,AIC,383.0783,383.0783,0
sPLS-DACOX-Dynamic,c.index,0.5987,0.5987,0
sPLS-DACOX-Dynamic,AUC,0.53666,0.5382,0.0106479588574202
sPLS-DACOX-Dynamic,Brier,0.187777777777778,0.1967,0.0591152020375105
