method,metric,mean,median,sd
cox,training.time,0.001,0.001,0
cox,evaluating.time,0.0037,0.0037,0
cox,AIC,382.1542,382.1542,0
cox,c.index,0.6036,0.6036,0
cox,AUC,NA,NA,NA
cox,Brier,0.193691666666667,0.2043,0.0664570252215573
coxSW,training.time,0.0022,0.0022,0
coxSW,evaluating.time,0.0027,0.0027,0
coxSW,AIC,382.1542,382.1542,0
coxSW,c.index,0.6036,0.6036,0
coxSW,AUC,NA,NA,NA
coxSW,Brier,0.193691666666667,0.2043,0.0664570252215573
coxEN,training.time,0.0032,0.0032,0
coxEN,evaluating.time,0.0024,0.0024,0
coxEN,AIC,382.1542,382.1542,0
coxEN,c.index,0.6036,0.6036,0
coxEN,AUC,NA,NA,NA
coxEN,Brier,0.193691666666667,0.2043,0.0664570252215573
sPLS-ICOX,training.time,5e-04,5e-04,0
sPLS-ICOX,evaluating.time,0.0026,0.0026,0
sPLS-ICOX,AIC,382.0545,382.0545,0
sPLS-ICOX,c.index,0.6045,0.6045,0
sPLS-ICOX,AUC,NA,NA,NA
sPLS-ICOX,Brier,0.186166666666667,0.1956,0.0606274474478724
sPLS-DRCOX,training.time,3e-04,3e-04,0
sPLS-DRCOX,evaluating.time,0.0026,0.0026,0
sPLS-DRCOX,AIC,382.4184,382.4184,0
sPLS-DRCOX,c.index,0.6014,0.6014,0
sPLS-DRCOX,AUC,NA,NA,NA
sPLS-DRCOX,Brier,0.186108333333333,0.1952,0.059532391091353
sPLS-DRCOX-Dynamic,training.time,4e-04,4e-04,0
sPLS-DRCOX-Dynamic,evaluating.time,0.0027,0.0027,0
sPLS-DRCOX-Dynamic,AIC,382.4184,382.4184,0
sPLS-DRCOX-Dynamic,c.index,0.6014,0.6014,0
sPLS-DRCOX-Dynamic,AUC,NA,NA,NA
sPLS-DRCOX-Dynamic,Brier,0.186108333333333,0.1952,0.059532391091353
sPLS-DACOX-Dynamic,training.time,3e-04,3e-04,0
sPLS-DACOX-Dynamic,evaluating.time,0.0027,0.0027,0
sPLS-DACOX-Dynamic,AIC,383.0783,383.0783,0
sPLS-DACOX-Dynamic,c.index,0.5987,0.5987,0
sPLS-DACOX-Dynamic,AUC,NA,NA,NA
sPLS-DACOX-Dynamic,Brier,0.187777777777778,0.1967,0.0591152020375105
