method,metric,mean,median,sd
cox,training.time,0.0122,0.0122,0
cox,evaluating.time,0.0022,0.0022,0
cox,AIC,353.6262,353.6262,0
cox,c.index,0.5836,0.5836,0
cox,AUC,NA,NA,NA
cox,Brier,0.172839285714286,0.1851,0.0758202418452636
coxSW,training.time,0.0258,0.0258,0
coxSW,evaluating.time,0.0022,0.0022,0
coxSW,AIC,351.2459,351.2459,0
coxSW,c.index,0.6537,0.6537,0
coxSW,AUC,NA,NA,NA
coxSW,Brier,0.169710714285714,0.182,0.0784629931435493
coxEN,training.time,4e-04,4e-04,0
coxEN,evaluating.time,0.0023,0.0023,0
coxEN,AIC,353.6262,353.6262,0
coxEN,c.index,0.5836,0.5836,0
coxEN,AUC,NA,NA,NA
coxEN,Brier,0.172839285714286,0.1851,0.0758202418452636
sPLS-ICOX,training.time,0.0023,0.0023,0
sPLS-ICOX,evaluating.time,0.0027,0.0027,0
sPLS-ICOX,AIC,346.9218,346.9218,0
sPLS-ICOX,c.index,0.6682,0.6682,0
sPLS-ICOX,AUC,NA,NA,NA
sPLS-ICOX,Brier,0.15825,0.1693,0.0723668285604322
sPLS-DRCOX,training.time,9e-04,9e-04,0
sPLS-DRCOX,evaluating.time,0.0028,0.0028,0
sPLS-DRCOX,AIC,347.9495,347.9495,0
sPLS-DRCOX,c.index,0.6721,0.6721,0
sPLS-DRCOX,AUC,NA,NA,NA
sPLS-DRCOX,Brier,0.160521428571429,0.1719,0.0736868933456799
sPLS-DRCOX-Dynamic,training.time,5e-04,5e-04,0
sPLS-DRCOX-Dynamic,evaluating.time,0.0032,0.0032,0
sPLS-DRCOX-Dynamic,AIC,348.2395,348.2395,0
sPLS-DRCOX-Dynamic,c.index,0.6667,0.6667,0
sPLS-DRCOX-Dynamic,AUC,NA,NA,NA
sPLS-DRCOX-Dynamic,Brier,0.160096428571429,0.1713,0.0712515769560087
sPLS-DACOX-Dynamic,training.time,6e-04,6e-04,0
sPLS-DACOX-Dynamic,evaluating.time,0.0021,0.0021,0
sPLS-DACOX-Dynamic,AIC,346.3255,346.3255,0
sPLS-DACOX-Dynamic,c.index,0.6647,0.6647,0
sPLS-DACOX-Dynamic,AUC,NA,NA,NA
sPLS-DACOX-Dynamic,Brier,0.159721428571429,0.1705,0.0755644931067454
